video_id,gesture_label,original_source_dataset,original_split,assigned_split,train_test_usage,experiment_stage
vid_00141,Stop Sign,Jester,unknown,DS2,test,task2
vid_00142,Thumb Down,Jester,unknown,Train,train,baseline
vid_00143,Stop Sign,Jester,unknown,Train,train,baseline
vid_00144,Thumb Down,Jester,unknown,Train,train,baseline
vid_00145,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00146,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00147,Thumb Down,Jester,unknown,DS2,test,task2
vid_00148,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00149,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00150,Swipe Right,Jester,unknown,Train,train,baseline
vid_00151,Swipe Left,Jester,unknown,Train,train,baseline
vid_00152,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00153,Swipe Left,Jester,unknown,DS3,test,task3
vid_00154,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00155,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00156,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00157,Swipe Left,Jester,unknown,Train,train,baseline
vid_00158,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00159,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00160,Thumb Down,Jester,unknown,DS1,test,task1
vid_00161,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00162,Swipe Right,Jester,unknown,Train,train,baseline
vid_00163,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00164,Stop Sign,Jester,unknown,DS3,test,task3
vid_00165,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00166,Thumb Down,Jester,unknown,Train,train,baseline
vid_00167,Swipe Left,Jester,unknown,Train,train,baseline
vid_00168,Stop Sign,Jester,unknown,Train,train,baseline
vid_00169,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00170,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00171,Stop Sign,Jester,unknown,Train,train,baseline
vid_00172,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00173,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00174,Stop Sign,Jester,unknown,DS1,test,task1
vid_00175,Swipe Right,Jester,unknown,Train,train,baseline
vid_00176,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00177,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00178,Thumb Down,Jester,unknown,Train,train,baseline
vid_00179,Stop Sign,Jester,unknown,Train,train,baseline
vid_00180,Thumb Down,Jester,unknown,Train,train,baseline
vid_00181,Swipe Right,Jester,unknown,Train,train,baseline
vid_00182,Swipe Left,Jester,unknown,Train,train,baseline
vid_00183,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00184,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00185,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00186,Swipe Left,Jester,unknown,Train,train,baseline
vid_00187,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00188,Stop Sign,Jester,unknown,Train,train,baseline
vid_00189,Swipe Left,Jester,unknown,Train,train,baseline
vid_00190,Thumb Down,Jester,unknown,Train,train,baseline
vid_00191,Swipe Right,Jester,unknown,Train,train,baseline
vid_00192,Swipe Left,Jester,unknown,Train,train,baseline
vid_00193,Thumb Down,Jester,unknown,Train,train,baseline
vid_00194,Swipe Left,Jester,unknown,Train,train,baseline
vid_00195,Stop Sign,Jester,unknown,Train,train,baseline
vid_00196,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00197,Thumb Down,Jester,unknown,Train,train,baseline
vid_00198,Swipe Left,Jester,unknown,DS1,test,task1
vid_00199,Stop Sign,Jester,unknown,Train,train,baseline
vid_00200,Swipe Right,Jester,unknown,DS1,test,task1
vid_00201,Swipe Right,Jester,unknown,DS3,test,task3
vid_00202,Stop Sign,Jester,unknown,Train,train,baseline
vid_00203,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00204,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00205,Thumb Down,Jester,unknown,Train,train,baseline
vid_00206,Thumb Down,Jester,unknown,Train,train,baseline
vid_00207,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00208,Swipe Left,Jester,unknown,DS1,test,task1
vid_00209,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00210,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00211,Swipe Left,Jester,unknown,Train,train,baseline
vid_00212,Swipe Right,Jester,unknown,Train,train,baseline
vid_00213,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00214,Stop Sign,Jester,unknown,DS2,test,task2
vid_00215,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00216,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00217,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00218,Stop Sign,Jester,unknown,Train,train,baseline
vid_00219,Swipe Left,Jester,unknown,DS1,test,task1
vid_00220,Swipe Left,Jester,unknown,Train,train,baseline
vid_00221,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00222,Swipe Left,Jester,unknown,Train,train,baseline
vid_00223,Swipe Right,Jester,unknown,Train,train,baseline
vid_00224,Thumb Down,Jester,unknown,Train,train,baseline
vid_00225,Stop Sign,Jester,unknown,Train,train,baseline
vid_00226,Thumb Down,Jester,unknown,Train,train,baseline
vid_00227,Stop Sign,Jester,unknown,Train,train,baseline
vid_00228,Swipe Right,Jester,unknown,Train,train,baseline
vid_00229,Stop Sign,Jester,unknown,DS3,test,task3
vid_00230,Swipe Left,Jester,unknown,DS1,test,task1
vid_00231,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00232,Swipe Left,Jester,unknown,Train,train,baseline
vid_00233,Thumb Down,Jester,unknown,DS1,test,task1
vid_00234,Thumb Down,Jester,unknown,Train,train,baseline
vid_00235,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00236,Stop Sign,Jester,unknown,Train,train,baseline
vid_00237,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00238,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00239,Stop Sign,Jester,unknown,Train,train,baseline
vid_00240,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00241,Swipe Left,Jester,unknown,Train,train,baseline
vid_00242,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00243,Thumb Down,Jester,unknown,DS3,test,task3
vid_00244,Thumb Down,Jester,unknown,Train,train,baseline
vid_00245,Swipe Left,Jester,unknown,Train,train,baseline
vid_00246,Swipe Left,Jester,unknown,Train,train,baseline
vid_00247,Stop Sign,Jester,unknown,DS3,test,task3
vid_00248,Swipe Left,Jester,unknown,Train,train,baseline
vid_00249,Thumb Down,Jester,unknown,Train,train,baseline
vid_00250,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00251,Swipe Left,Jester,unknown,DS1,test,task1
vid_00252,Thumb Down,Jester,unknown,DS1,test,task1
vid_00253,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00254,Swipe Left,Jester,unknown,Train,train,baseline
vid_00255,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00256,Thumb Down,Jester,unknown,Train,train,baseline
vid_00257,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00258,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00259,Swipe Left,Jester,unknown,Train,train,baseline
vid_00260,Stop Sign,Jester,unknown,Train,train,baseline
vid_00261,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00262,Swipe Left,Jester,unknown,Train,train,baseline
vid_00263,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00264,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00265,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00266,Thumb Down,Jester,unknown,Train,train,baseline
vid_00267,Stop Sign,Jester,unknown,Train,train,baseline
vid_00268,Swipe Right,Jester,unknown,Train,train,baseline
vid_00269,Swipe Right,Jester,unknown,Train,train,baseline
vid_00270,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00271,Swipe Left,Jester,unknown,DS1,test,task1
vid_00272,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00273,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00274,Swipe Right,Jester,unknown,Train,train,baseline
vid_00275,Stop Sign,Jester,unknown,DS1,test,task1
vid_00276,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00277,Swipe Right,Jester,unknown,DS1,test,task1
vid_00278,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00279,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00280,Thumb Down,Jester,unknown,DS3,test,task3
vid_00281,Stop Sign,Jester,unknown,Train,train,baseline
vid_00282,Rolling Backward,Jester,unknown,DS3,test,task3
vid_00283,Swipe Right,Jester,unknown,Train,train,baseline
vid_00284,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00285,Swipe Left,Jester,unknown,Train,train,baseline
vid_00286,Swipe Right,Jester,unknown,Train,train,baseline
vid_00287,Thumb Down,Jester,unknown,Train,train,baseline
vid_00288,Thumb Down,Jester,unknown,Train,train,baseline
vid_00289,Thumb Down,Jester,unknown,Train,train,baseline
vid_00290,Swipe Right,Jester,unknown,Train,train,baseline
vid_00291,Swipe Right,Jester,unknown,Train,train,baseline
vid_00292,Swipe Right,Jester,unknown,Train,train,baseline
vid_00293,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00294,Swipe Right,Jester,unknown,Train,train,baseline
vid_00295,Swipe Right,Jester,unknown,DS2,test,task2
vid_00296,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00297,Thumb Down,Jester,unknown,DS2,test,task2
vid_00298,Stop Sign,Jester,unknown,DS3,test,task3
vid_00299,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00300,Rolling Forward,Jester,unknown,DS2,test,task2
vid_00301,Thumb Down,Jester,unknown,Train,train,baseline
vid_00302,Swipe Right,Jester,unknown,DS1,test,task1
vid_00303,Stop Sign,Jester,unknown,Train,train,baseline
vid_00304,Stop Sign,Jester,unknown,DS2,test,task2
vid_00305,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00306,Thumb Down,Jester,unknown,Train,train,baseline
vid_00307,Thumb Down,Jester,unknown,Train,train,baseline
vid_00308,Swipe Right,Jester,unknown,Train,train,baseline
vid_00309,Stop Sign,Jester,unknown,Train,train,baseline
vid_00310,Stop Sign,Jester,unknown,DS3,test,task3
vid_00311,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00312,Swipe Right,Jester,unknown,Train,train,baseline
vid_00313,Swipe Left,Jester,unknown,Train,train,baseline
vid_00314,Swipe Left,Jester,unknown,DS3,test,task3
vid_00315,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00316,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00317,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00318,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00319,Swipe Left,Jester,unknown,Train,train,baseline
vid_00320,Stop Sign,Jester,unknown,Train,train,baseline
vid_00321,Swipe Left,Jester,unknown,Train,train,baseline
vid_00322,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00323,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00324,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00325,Swipe Left,Jester,unknown,Train,train,baseline
vid_00326,Swipe Left,Jester,unknown,Train,train,baseline
vid_00327,Thumb Down,Jester,unknown,Train,train,baseline
vid_00328,Rolling Forward,Jester,unknown,DS3,test,task3
vid_00329,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00330,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00331,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00332,Thumb Down,Jester,unknown,Train,train,baseline
vid_00333,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00334,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00335,Swipe Left,Jester,unknown,Train,train,baseline
vid_00336,Swipe Left,Jester,unknown,Train,train,baseline
vid_00337,Stop Sign,Jester,unknown,Train,train,baseline
vid_00338,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00339,Swipe Right,Jester,unknown,Train,train,baseline
vid_00340,Stop Sign,Jester,unknown,Train,train,baseline
vid_00341,Swipe Left,Jester,unknown,Train,train,baseline
vid_00342,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00343,Stop Sign,Jester,unknown,Train,train,baseline
vid_00344,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00345,Swipe Left,Jester,unknown,Train,train,baseline
vid_00346,Stop Sign,Jester,unknown,DS3,test,task3
vid_00347,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00348,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00349,Swipe Right,Jester,unknown,DS3,test,task3
vid_00350,Swipe Right,Jester,unknown,Train,train,baseline
vid_00351,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00352,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00353,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00354,Swipe Left,Jester,unknown,Train,train,baseline
vid_00355,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00356,Stop Sign,Jester,unknown,DS1,test,task1
vid_00357,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00358,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00359,Thumb Down,Jester,unknown,DS2,test,task2
vid_00360,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00361,Thumb Down,Jester,unknown,Train,train,baseline
vid_00362,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00363,Thumb Down,Jester,unknown,DS2,test,task2
vid_00364,Swipe Right,Jester,unknown,Train,train,baseline
vid_00365,Stop Sign,Jester,unknown,Train,train,baseline
vid_00366,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00367,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00368,Swipe Right,Jester,unknown,DS3,test,task3
vid_00369,Thumb Down,Jester,unknown,Train,train,baseline
vid_00370,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00371,Swipe Right,Jester,unknown,Train,train,baseline
vid_00372,Thumb Down,Jester,unknown,DS2,test,task2
vid_00373,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00374,Swipe Right,Jester,unknown,Train,train,baseline
vid_00375,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00376,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00377,Thumb Down,Jester,unknown,Train,train,baseline
vid_00378,Swipe Left,Jester,unknown,Train,train,baseline
vid_00379,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00380,Thumb Down,Jester,unknown,Train,train,baseline
vid_00381,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00382,Swipe Left,Jester,unknown,DS3,test,task3
vid_00383,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00384,Swipe Left,Jester,unknown,Train,train,baseline
vid_00385,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00386,Thumb Down,Jester,unknown,DS2,test,task2
vid_00387,Swipe Right,Jester,unknown,Train,train,baseline
vid_00388,Swipe Left,Jester,unknown,Train,train,baseline
vid_00389,Stop Sign,Jester,unknown,Train,train,baseline
vid_00390,Stop Sign,Jester,unknown,Train,train,baseline
vid_00391,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00392,Thumb Down,Jester,unknown,Train,train,baseline
vid_00393,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00394,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00395,Stop Sign,Jester,unknown,Train,train,baseline
vid_00396,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00397,Thumb Down,Jester,unknown,Train,train,baseline
vid_00398,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00399,Rolling Backward,Jester,unknown,DS1,test,task1
vid_00400,Swipe Right,Jester,unknown,Train,train,baseline
vid_00401,Swipe Left,Jester,unknown,Train,train,baseline
vid_00402,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00403,Thumb Down,Jester,unknown,Train,train,baseline
vid_00404,Stop Sign,Jester,unknown,DS1,test,task1
vid_00405,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00406,Stop Sign,Jester,unknown,Train,train,baseline
vid_00407,Thumb Down,Jester,unknown,Train,train,baseline
vid_00408,Swipe Right,Jester,unknown,Train,train,baseline
vid_00409,Swipe Right,Jester,unknown,Train,train,baseline
vid_00410,Swipe Right,Jester,unknown,Train,train,baseline
vid_00411,Stop Sign,Jester,unknown,Train,train,baseline
vid_00412,Swipe Left,Jester,unknown,Train,train,baseline
vid_00413,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00414,Thumb Down,Jester,unknown,Train,train,baseline
vid_00415,Swipe Left,Jester,unknown,Train,train,baseline
vid_00416,Rolling Forward,Jester,unknown,DS1,test,task1
vid_00417,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00418,Swipe Left,Jester,unknown,Train,train,baseline
vid_00419,Swipe Left,Jester,unknown,Train,train,baseline
vid_00420,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00421,Stop Sign,Jester,unknown,Train,train,baseline
vid_00422,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00423,Swipe Left,Jester,unknown,Train,train,baseline
vid_00424,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00425,Swipe Right,Jester,unknown,DS2,test,task2
vid_00426,Stop Sign,Jester,unknown,Train,train,baseline
vid_00427,Swipe Left,Jester,unknown,Train,train,baseline
vid_00428,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00429,Rolling Backward,Jester,unknown,DS2,test,task2
vid_00430,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00431,Stop Sign,Jester,unknown,Train,train,baseline
vid_00432,Stop Sign,Jester,unknown,Train,train,baseline
vid_00433,Swipe Right,Jester,unknown,DS1,test,task1
vid_00434,Stop Sign,Jester,unknown,Train,train,baseline
vid_00435,Swipe Left,Jester,unknown,Train,train,baseline
vid_00436,Stop Sign,Jester,unknown,Train,train,baseline
vid_00437,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00438,Swipe Right,Jester,unknown,Train,train,baseline
vid_00439,Thumb Down,Jester,unknown,DS1,test,task1
vid_00440,Thumb Down,Jester,unknown,DS3,test,task3
vid_00441,Thumb Down,Jester,unknown,DS3,test,task3
vid_00442,Swipe Left,Jester,unknown,Train,train,baseline
vid_00443,Stop Sign,Jester,unknown,DS3,test,task3
vid_00444,Thumb Down,Jester,unknown,DS3,test,task3
vid_00445,Swipe Left,Jester,unknown,Train,train,baseline
vid_00446,Stop Sign,Jester,unknown,Train,train,baseline
vid_00447,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00448,Thumb Down,Jester,unknown,Train,train,baseline
vid_00449,Stop Sign,Jester,unknown,Train,train,baseline
vid_00450,Swipe Left,Jester,unknown,Train,train,baseline
vid_00451,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00452,Swipe Right,Jester,unknown,Train,train,baseline
vid_00453,Swipe Left,Jester,unknown,Train,train,baseline
vid_00454,Rolling Forward,Jester,unknown,Train,train,baseline
vid_00455,Rolling Backward,Jester,unknown,Train,train,baseline
vid_00456,Thumb Down,Jester,unknown,Train,train,baseline
vid_00457,Swipe Left,Jester,unknown,Train,train,baseline
